,Age,Gender,Education Level,Job Title,Years of Experience,Salary
637,31.0,Female,PhD,Data Scientist,9.0,195000.0
641,29.0,Female,Master's,Data Scientist,6.0,180000.0
645,30.0,Female,PhD,Data Scientist,7.0,185000.0
651,29.0,Female,Master's,Data Scientist,6.0,180000.0
657,30.0,Female,PhD,Data Scientist,7.0,185000.0
661,29.0,Female,Master's,Data Scientist,6.0,180000.0
667,30.0,Female,PhD,Data Scientist,7.0,185000.0
671,29.0,Female,Master's,Data Scientist,6.0,180000.0
677,27.0,Female,Master's,Data Scientist,4.0,150000.0
681,31.0,Male,Master's,Data Scientist,7.0,180000.0
685,30.0,Female,PhD,Data Scientist,6.0,170000.0
689,32.0,Female,PhD,Data Scientist,9.0,195000.0
693,31.0,Female,Master's,Data Scientist,6.0,180000.0
697,30.0,Female,PhD,Data Scientist,7.0,185000.0
701,29.0,Female,Master's,Data Scientist,6.0,180000.0
708,30.0,Male,PhD,Data Scientist,7.0,185000.0
713,29.0,Female,Master's,Data Scientist,6.0,180000.0
717,31.0,Female,PhD,Data Scientist,9.0,195000.0
721,29.0,Female,Master's,Data Scientist,6.0,180000.0
725,30.0,Female,PhD,Data Scientist,7.0,185000.0
731,29.0,Female,Master's,Data Scientist,6.0,180000.0
737,30.0,Female,PhD,Data Scientist,7.0,185000.0
741,29.0,Female,Master's,Data Scientist,6.0,180000.0
747,30.0,Female,PhD,Data Scientist,7.0,185000.0
751,29.0,Female,Master's,Data Scientist,6.0,180000.0
757,30.0,Female,PhD,Data Scientist,7.0,185000.0
761,29.0,Female,Master's,Data Scientist,6.0,180000.0
767,30.0,Female,PhD,Data Scientist,7.0,185000.0
771,29.0,Female,Master's,Data Scientist,6.0,180000.0
777,30.0,Female,PhD,Data Scientist,7.0,185000.0
781,29.0,Female,Master's,Data Scientist,6.0,180000.0
787,30.0,Female,PhD,Data Scientist,7.0,185000.0
791,29.0,Female,Master's,Data Scientist,6.0,180000.0
797,30.0,Female,PhD,Data Scientist,7.0,185000.0
801,29.0,Female,Master's,Data Scientist,6.0,180000.0
807,30.0,Female,PhD,Data Scientist,7.0,185000.0
812,29.0,Female,Master's,Data Scientist,6.0,180000.0
818,30.0,Female,PhD,Data Scientist,7.0,185000.0
822,30.0,Male,PhD,Data Scientist,7.0,185000.0
829,29.0,Female,Master's,Data Scientist,6.0,180000.0
833,31.0,Female,Master's,Data Scientist,6.0,180000.0
841,30.0,Female,PhD,Data Scientist,7.0,185000.0
847,29.0,Female,Master's,Data Scientist,6.0,180000.0
853,30.0,Female,PhD,Data Scientist,7.0,185000.0
857,29.0,Female,Master's,Data Scientist,6.0,180000.0
863,30.0,Female,PhD,Data Scientist,7.0,185000.0
867,29.0,Female,Master's,Data Scientist,6.0,180000.0
873,30.0,Female,PhD,Data Scientist,7.0,185000.0
877,29.0,Female,Master's,Data Scientist,6.0,180000.0
883,30.0,Female,PhD,Data Scientist,7.0,185000.0
887,29.0,Female,Master's,Data Scientist,6.0,180000.0
893,30.0,Female,PhD,Data Scientist,7.0,185000.0
897,29.0,Female,Master's,Data Scientist,6.0,180000.0
903,30.0,Female,PhD,Data Scientist,7.0,185000.0
907,29.0,Female,Master's,Data Scientist,6.0,180000.0
913,30.0,Female,PhD,Data Scientist,7.0,185000.0
917,29.0,Female,Master's,Data Scientist,6.0,180000.0
923,30.0,Female,PhD,Data Scientist,7.0,185000.0
927,29.0,Female,Master's,Data Scientist,6.0,180000.0
933,30.0,Female,PhD,Data Scientist,7.0,185000.0
937,29.0,Female,Master's,Data Scientist,6.0,180000.0
943,30.0,Female,PhD,Data Scientist,7.0,185000.0
945,27.0,Female,Master's Degree,Data Scientist,3.0,180000.0
948,43.0,Male,Master's Degree,Data Scientist,15.0,198000.0
951,31.0,Male,Master's Degree,Data Scientist,6.0,175000.0
954,29.0,Female,Master's Degree,Data Scientist,4.0,182000.0
958,32.0,Male,Bachelor's,Data Scientist,8.0,180000.0
965,30.0,Female,PhD,Data Scientist,7.0,170000.0
969,30.0,Male,PhD,Data Scientist,7.0,170000.0
976,29.0,Female,Master's,Data Scientist,6.0,150000.0
977,32.0,Male,Bachelor's,Data Scientist,8.0,180000.0
980,31.0,Female,Master's,Data Scientist,6.0,170000.0
988,30.0,Female,PhD,Data Scientist,7.0,170000.0
994,29.0,Female,Master's,Data Scientist,6.0,150000.0
1000,30.0,Female,PhD,Data Scientist,7.0,170000.0
1004,29.0,Female,Master's,Data Scientist,6.0,150000.0
1010,30.0,Female,PhD,Data Scientist,7.0,170000.0
1014,29.0,Female,Master's,Data Scientist,6.0,150000.0
1020,30.0,Female,PhD,Data Scientist,7.0,170000.0
1024,29.0,Female,Master's,Data Scientist,6.0,150000.0
1030,30.0,Female,PhD,Data Scientist,7.0,170000.0
1034,29.0,Female,Master's,Data Scientist,6.0,150000.0
1040,30.0,Female,PhD,Data Scientist,7.0,170000.0
1044,29.0,Female,Master's,Data Scientist,6.0,150000.0
1050,30.0,Female,PhD,Data Scientist,7.0,170000.0
1054,29.0,Female,Master's,Data Scientist,6.0,150000.0
1060,30.0,Female,PhD,Data Scientist,7.0,170000.0
1064,29.0,Female,Master's,Data Scientist,6.0,150000.0
1070,30.0,Female,PhD,Data Scientist,7.0,170000.0
1074,29.0,Female,Master's,Data Scientist,6.0,150000.0
1080,30.0,Female,PhD,Data Scientist,7.0,170000.0
1084,29.0,Female,Master's,Data Scientist,6.0,150000.0
1090,30.0,Female,PhD,Data Scientist,7.0,170000.0
1093,33.0,Male,Master's,Data Scientist,10.0,195000.0
1098,32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
1102,28.0,Female,Master's,Data Scientist,6.0,150000.0
1106,31.0,Male,Master's,Data Scientist,9.0,185000.0
1109,28.0,Female,Master's,Data Scientist,6.0,155000.0
1116,33.0,Male,Master's,Data Scientist,10.0,195000.0
1120,32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
1124,28.0,Female,Master's,Data Scientist,6.0,150000.0
1128,31.0,Male,Master's,Data Scientist,9.0,185000.0
1131,28.0,Female,Master's,Data Scientist,6.0,155000.0
1138,33.0,Male,Master's,Data Scientist,10.0,195000.0
1142,32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
1146,28.0,Female,Master's,Data Scientist,6.0,150000.0
1150,31.0,Male,Master's,Data Scientist,9.0,185000.0
1153,28.0,Female,Master's,Data Scientist,6.0,155000.0
1160,33.0,Male,Master's,Data Scientist,10.0,195000.0
1164,32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
1168,28.0,Female,Master's,Data Scientist,6.0,150000.0
1172,31.0,Male,Master's,Data Scientist,9.0,185000.0
1175,28.0,Female,Master's,Data Scientist,6.0,155000.0
1182,33.0,Male,Master's,Data Scientist,10.0,195000.0
1186,32.0,Female,Bachelor's,Data Scientist,9.0,185000.0
1190,28.0,Female,Master's,Data Scientist,6.0,150000.0
1194,31.0,Male,Master's,Data Scientist,9.0,185000.0
1197,28.0,Female,Master's,Data Scientist,6.0,155000.0
1201,28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,175000.0
1202,44.0,Male,PhD,Software Engineer Manager,18.0,190000.0
1204,50.0,Male,PhD,Senior Project Engineer,16.0,195000.0
1205,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1207,35.0,Male,Master's Degree,Senior Software Engineer,8.0,155000.0
1208,47.0,Female,PhD,Full Stack Engineer,12.0,175000.0
1209,46.0,Female,Master's Degree,Senior Project Engineer,13.0,180000.0
1211,61.0,Male,PhD,Software Engineer Manager,20.0,200000.0
1212,41.0,Male,Master's Degree,Senior Software Engineer,11.0,165000.0
1213,37.0,Male,Master's Degree,Senior Project Engineer,9.0,145000.0
1214,53.0,Male,PhD,Software Engineer Manager,19.0,195000.0
1217,37.0,Female,Master's Degree,Senior Software Engineer,9.0,155000.0
1218,32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,115000.0
1219,44.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0
1220,50.0,Female,PhD,Software Engineer Manager,16.0,190000.0
1221,27.0,Male,Bachelor's Degree,Senior Project Engineer,4.0,115000.0
1222,42.0,Male,PhD,Full Stack Engineer,14.0,180000.0
1223,57.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1224,35.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1225,62.0,Male,PhD,Software Engineer Manager,19.0,200000.0
1227,42.0,Female,Master's Degree,Senior Project Engineer,11.0,170000.0
1228,41.0,Female,PhD,Software Engineer Manager,14.0,185000.0
1229,36.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0
1230,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1231,49.0,Male,PhD,Senior Project Engineer,15.0,185000.0
1232,47.0,Male,PhD,Software Engineer Manager,15.0,180000.0
1233,47.0,Male,PhD,Senior Software Engineer,14.0,175000.0
1236,62.0,Male,PhD,Software Engineer Manager,20.0,200000.0
1237,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1238,41.0,Female,Master's Degree,Senior Project Engineer,11.0,165000.0
1239,23.0,Male,Bachelor's Degree,Full Stack Engineer,1.0,55000.0
1240,55.0,Male,PhD,Software Engineer Manager,17.0,190000.0
1243,31.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0
1244,50.0,Female,PhD,Software Engineer Manager,16.0,185000.0
1246,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1248,37.0,Male,Master's Degree,Senior Software Engineer,8.0,150000.0
1249,43.0,Female,PhD,Senior Project Engineer,13.0,180000.0
1250,44.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0
1252,45.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1253,29.0,Male,Bachelor's Degree,Full Stack Engineer,3.0,90000.0
1256,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1257,43.0,Female,Master's Degree,Software Engineer Manager,11.0,160000.0
1258,62.0,Male,PhD,Software Engineer Manager,19.0,200000.0
1259,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1260,60.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1261,54.0,Female,PhD,Software Engineer Manager,14.0,190000.0
1262,27.0,Female,Master's Degree,Full Stack Engineer,3.0,95000.0
1264,45.0,Male,PhD,Senior Software Engineer,13.0,185000.0
1265,32.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0
1266,57.0,Male,PhD,Software Engineer Manager,16.0,195000.0
1267,47.0,Male,PhD,Software Engineer Manager,14.0,175000.0
1269,58.0,Male,PhD,Software Engineer Manager,17.0,200000.0
1270,41.0,Female,Master's Degree,Senior Software Engineer,12.0,160000.0
1271,41.0,Male,PhD,Software Engineer Manager,12.0,175000.0
1273,47.0,Male,PhD,Senior Software Engineer,15.0,180000.0
1275,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1276,32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,120000.0
1277,61.0,Male,PhD,Software Engineer Manager,20.0,200000.0
1278,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0
1279,50.0,Female,PhD,Software Engineer Manager,16.0,190000.0
1280,53.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1281,47.0,Female,PhD,Senior Software Engineer,14.0,170000.0
1284,42.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1285,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0
1287,37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0
1288,44.0,Female,Master's Degree,Senior Project Engineer,12.0,170000.0
1289,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1291,34.0,Male,Master's Degree,Full Stack Engineer,6.0,125000.0
1292,46.0,Female,PhD,Software Engineer Manager,14.0,180000.0
1294,44.0,Female,Master's Degree,Senior Software Engineer,11.0,170000.0
1295,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1296,42.0,Male,PhD,Senior Project Engineer,14.0,175000.0
1298,54.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1299,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1300,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1301,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0
1303,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1304,62.0,Male,PhD,Software Engineer Manager,20.0,200000.0
1305,62.0,Male,PhD,Software Engineer Manager,19.0,200000.0
1306,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1307,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1308,58.0,Female,PhD,Software Engineer Manager,17.0,195000.0
1309,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1311,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1312,32.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0
1313,52.0,Female,PhD,Software Engineer Manager,16.0,190000.0
1314,32.0,Female,Master's Degree,Full Stack Engineer,6.0,130000.0
1315,50.0,Female,PhD,Software Engineer Manager,16.0,190000.0
1317,34.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
1319,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1320,55.0,Male,PhD,Software Engineer Manager,17.0,190000.0
1322,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1324,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0
1326,36.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0
1327,47.0,Female,PhD,Senior Software Engineer,14.0,170000.0
1329,43.0,Male,PhD,Software Engineer Manager,13.0,180000.0
1332,43.0,Male,Master's Degree,Senior Project Engineer,12.0,165000.0
1333,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1334,36.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1337,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1338,41.0,Female,PhD,Software Engineer Manager,14.0,185000.0
1341,43.0,Male,PhD,Senior Software Engineer,12.0,170000.0
1342,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1343,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1345,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1346,44.0,Male,PhD,Senior Project Engineer,12.0,170000.0
1347,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1348,37.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1349,44.0,Female,Master's Degree,Senior Project Engineer,12.0,170000.0
1350,56.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1351,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1353,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1354,31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
1356,50.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1357,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1358,33.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0
1359,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1360,41.0,Male,PhD,Senior Project Engineer,12.0,165000.0
1361,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1364,44.0,Female,Master's Degree,Senior Software Engineer,11.0,170000.0
1365,36.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1366,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0
1368,37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0
1369,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1370,58.0,Male,PhD,Software Engineer Manager,17.0,200000.0
1373,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1374,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1375,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1376,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1377,54.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1378,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1379,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1380,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1381,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1382,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1383,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1386,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1389,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1390,31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
1391,43.0,Male,PhD,Software Engineer Manager,13.0,180000.0
1393,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1394,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1396,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0
1397,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1398,37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0
1399,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1400,43.0,Male,PhD,Senior Project Engineer,12.0,165000.0
1401,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1402,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1403,37.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1404,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1405,58.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1408,52.0,Male,PhD,Software Engineer Manager,18.0,200000.0
1409,36.0,Male,Master's Degree,Full Stack Engineer,8.0,140000.0
1411,47.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1412,32.0,Male,Master's Degree,Full Stack Engineer,6.0,120000.0
1415,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1416,57.0,Male,PhD,Software Engineer Manager,18.0,200000.0
1417,51.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1418,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0
1419,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1421,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0
1423,36.0,Male,Master's Degree,Full Stack Engineer,7.0,130000.0
1424,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1425,33.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0
1427,51.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1428,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1429,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1430,44.0,Female,Master's Degree,Senior Project Engineer,12.0,170000.0
1432,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1433,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1434,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1436,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1437,31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
1439,50.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1440,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0
1441,33.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0
1442,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1443,41.0,Male,PhD,Senior Project Engineer,12.0,165000.0
1444,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1447,44.0,Female,Master's Degree,Senior Software Engineer,11.0,170000.0
1448,36.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1449,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0
1451,37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0
1452,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1453,58.0,Male,PhD,Software Engineer Manager,17.0,200000.0
1456,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0
1457,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1458,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1459,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1460,54.0,Male,PhD,Software Engineer Manager,18.0,195000.0
1461,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1462,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1463,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0
1464,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1465,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1466,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1469,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0
1472,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1473,31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0
1474,43.0,Male,PhD,Software Engineer Manager,13.0,180000.0
1476,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1477,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1478,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1479,40.0,Male,PhD,Senior Software Engineer,12.0,160000.0
1480,36.0,Male,Master's Degree,Senior Software Engineer,8.0,140000.0
1481,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1484,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1485,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1486,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1488,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1489,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1491,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1492,31.0,Male,Master's Degree,Senior Project Engineer,7.0,135000.0
1494,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1496,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1497,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1498,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1499,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1501,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1502,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1503,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1505,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1507,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1508,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1509,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1510,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1511,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1514,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1515,31.0,Male,Master's Degree,Senior Project Engineer,7.0,135000.0
1517,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1518,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
1519,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
1520,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1522,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1523,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0
1524,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
1525,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0
1529,43.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0
1531,56.0,Female,PhD,Software Engineer Manager,18.0,210000.0
1532,32.0,Male,Master's Degree,Full Stack Engineer,7.0,135000.0
1533,40.0,Male,PhD,Senior Software Engineer,12.0,160000.0
1535,46.0,Male,PhD,Senior Project Engineer,16.0,190000.0
1536,41.0,Female,PhD,Senior Project Engineer,11.0,165000.0
1539,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0
1540,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
1541,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
1542,36.0,Male,Master's Degree,Senior Software Engineer,8.0,140000.0
